A,B,C,D,new_column,rolling_mean,rank,quantile,category,resample
6,55,Y,0.3452452519656985,61,,5.0,0,Y,
75,84,Y,0.6288989898221694,137,,46.5,1,Y,
75,35,Z,0.5319031088513001,93,,46.5,1,Z,
4,66,Y,0.939159510866356,70,,3.0,0,Y,
75,24,W,0.0519630523462854,91,,46.5,1,W,
75,8,Z,0.2899438115920142,60,,46.5,1,Z,
75,23,Y,0.4573435342015625,119,55.0,46.5,1,Y,
75,5,Z,0.5707542182225264,99,64.85714285714286,46.5,1,Z,
25,32,Z,0.0501392177120048,57,57.714285714285715,20.0,1,Z,
75,12,Y,0.1027126103823876,78,57.714285714285715,46.5,1,Y,
75,62,W,0.7280440413226549,132,67.85714285714286,46.5,1,W,
75,72,Z,0.8771262766430246,151,67.85714285714286,46.5,1,Z,
46,96,W,0.5392953908610738,142,63.714285714285715,29.0,1,W,
75,6,Y,0.1357368463234043,99,63.714285714285715,46.5,1,Y,
75,93,Z,0.957343388750028,176,63.714285714285715,46.5,1,Z,
1,86,W,0.0523427344128225,87,60.285714285714285,1.0,0,W,
75,98,Y,0.0389796911026235,188,60.285714285714285,46.5,1,Y,
75,56,Y,0.0417829962755169,148,60.285714285714285,46.5,1,Y,
9,78,Y,0.1599025292145915,87,50.857142857142854,7.0,0,Y,
75,76,Y,0.2076641508258627,167,55.0,46.5,1,Y,
23,62,Z,0.1606246735937156,85,47.57142857142857,19.0,1,Z,
75,63,Z,0.0473220549716926,127,47.57142857142857,46.5,1,Z,
75,64,Z,0.9221759725172676,118,58.142857142857146,46.5,1,Z,
37,75,Y,0.4508243398138842,112,52.714285714285715,26.0,1,Y,
18,71,Z,0.806225920758391,89,44.57142857142857,14.0,0,Z,
75,75,Z,0.8803487282499268,137,54.0,46.5,1,Z,
75,26,W,0.1122587099818565,123,54.0,46.5,1,W,
29,88,Z,0.6896625882188899,117,54.857142857142854,22.0,1,Z,
75,48,W,0.397675722340492,121,54.857142857142854,46.5,1,W,
75,87,W,0.1601152207526393,162,54.857142857142854,46.5,1,W,
26,34,Z,0.5891487277061779,60,53.285714285714285,21.0,1,Z,
75,4,Z,0.4544706395682971,75,61.42857142857143,46.5,1,Z,
75,68,Z,0.8363443893744748,144,61.42857142857143,46.5,1,Z,
75,31,Y,0.0970078916969668,119,61.42857142857143,46.5,1,Y,
11,44,Y,0.6631925515628982,55,58.857142857142854,9.0,0,Y,
13,26,Y,0.9093063065191476,39,50.0,11.0,0,Y,
14,1,Z,0.6125494860104135,15,41.285714285714285,12.0,0,Z,
75,70,Y,0.1377134656840174,169,48.285714285714285,46.5,1,Y,
3,43,W,0.1792344941091526,46,38.0,2.0,0,W,
19,7,Y,0.4875041244419035,26,30.0,15.0,0,Y,
75,84,Y,0.7453361944780503,165,30.0,46.5,1,Y,
48,68,Y,0.9723030855952578,116,35.285714285714285,30.0,1,Y,
75,3,Z,0.3658874033586508,64,44.142857142857146,46.5,1,Z,
31,81,Z,0.5386597875618973,112,46.57142857142857,24.0,1,Z,
75,11,Z,0.0667258917510499,79,46.57142857142857,46.5,1,Z,
15,12,Y,0.487289990448751,27,48.285714285714285,13.0,0,Y,
75,30,Z,0.2355840288278269,86,56.285714285714285,46.5,1,Z,
33,93,W,0.0805626189314682,126,50.285714285714285,25.0,1,W,
75,64,Z,0.1169446649078713,141,54.142857142857146,46.5,1,Z,
22,99,W,0.6275959761320759,121,46.57142857142857,18.0,1,W,
30,75,W,0.3127086260796995,105,46.42857142857143,23.0,1,W,
7,23,Z,0.0535384862578771,30,36.714285714285715,6.0,0,Z,
10,35,W,0.6479871024535709,45,36.0,8.0,0,W,
21,20,Y,0.0399185898981178,41,28.285714285714285,17.0,1,Y,
5,41,Y,0.9339296894484,46,24.285714285714285,4.0,0,Y,
12,93,Z,0.4875267304796172,105,15.285714285714286,10.0,0,Z,
75,45,Y,0.6340850182705928,127,22.857142857142858,46.5,1,Y,
75,53,W,0.3199998398377095,108,29.285714285714285,46.5,1,W,
20,93,W,0.469868026816106,113,31.142857142857142,16.0,0,W,
41,17,W,0.2523826389968856,58,35.57142857142857,28.0,1,W,516.0
75,17,W,0.8458391588680788,112,43.285714285714285,46.5,1,W,
38,31,W,0.3582934572791838,69,48.0,27.0,1,W,
